"PK","SK","assessmentId","department","entityType","questions"
"CLIENT#ksrce.ac.in","ASSESSMENT#ASSESS_CSE_006#MCQ_BATCH_1","ASSESS_CSE_006","Computer Science","mcq_batch_1","[{""M"":{""difficulty"":{""S"":""MEDIUM""},""questionId"":{""S"":""Q_001""},""question"":{""S"":""htht""},""entityType"":{""S"":""mcq""},""options"":{""L"":[{""M"":{""id"":{""S"":""A""},""text"":{""S"":""t""}}},{""M"":{""id"":{""S"":""B""},""text"":{""S"":""g""}}},{""M"":{""id"":{""S"":""C""},""text"":{""S"":""h""}}},{""M"":{""id"":{""S"":""D""},""text"":{""S"":""g""}}}]},""subcategory"":{""S"":""ALL""},""category"":{""S"":""MCQ""},""correctAnswer"":{""L"":[{""S"":""A""}]},""questionNumber"":{""N"":""1""},""points"":{""N"":""1""}}}]"
"CLIENT#ksrce.ac.in","ASSESSMENT#ASSESS_CSE_007#MCQ_BATCH_1","ASSESS_CSE_007","Computer Science","mcq_batch_1","[{""M"":{""difficulty"":{""S"":""MEDIUM""},""questionId"":{""S"":""Q_001""},""question"":{""S"":""What is Computer""},""entityType"":{""S"":""mcq""},""options"":{""L"":[{""M"":{""id"":{""S"":""A""},""text"":{""S"":""Tech""}}},{""M"":{""id"":{""S"":""B""},""text"":{""S"":""Advance""}}},{""M"":{""id"":{""S"":""C""},""text"":{""S"":""Technology""}}},{""M"":{""id"":{""S"":""D""},""text"":{""S"":""Advance""}}}]},""subcategory"":{""S"":""ALL""},""category"":{""S"":""MCQ""},""correctAnswer"":{""L"":[{""S"":""C""}]},""questionNumber"":{""N"":""1""},""points"":{""N"":""1""}}}]"
"CLIENT#ksrce.ac.in","ASSESSMENT#ASSESS_CSE_008#MCQ_BATCH_1","ASSESS_CSE_008","Computer Science","mcq_batch_1","[{""M"":{""difficulty"":{""S"":""MEDIUM""},""questionId"":{""S"":""Q_001""},""question"":{""S"":""uyfiytf7tf""},""entityType"":{""S"":""mcq""},""options"":{""L"":[{""M"":{""id"":{""S"":""A""},""text"":{""S"":""iugyg""}}},{""M"":{""id"":{""S"":""B""},""text"":{""S"":""uygy""}}},{""M"":{""id"":{""S"":""C""},""text"":{""S"":""uygoy""}}},{""M"":{""id"":{""S"":""D""},""text"":{""S"":""goyg""}}}]},""subcategory"":{""S"":""ALL""},""category"":{""S"":""MCQ""},""correctAnswer"":{""L"":[{""S"":""A""}]},""questionNumber"":{""N"":""1""},""points"":{""N"":""1""}}}]"
"CLIENT#ksrce.ac.in","ASSESSMENT#ASSESS_CSE_009#MCQ_BATCH_1","ASSESS_CSE_009","Computer Science","mcq_batch_1","[{""M"":{""difficulty"":{""S"":""MEDIUM""},""questionId"":{""S"":""Q_001""},""question"":{""S"":""sdfgkjugjhdfsaf""},""entityType"":{""S"":""mcq""},""options"":{""L"":[{""M"":{""id"":{""S"":""A""},""text"":{""S"":""dgag""}}},{""M"":{""id"":{""S"":""B""},""text"":{""S"":""dag""}}},{""M"":{""id"":{""S"":""C""},""text"":{""S"":""vbn""}}},{""M"":{""id"":{""S"":""D""},""text"":{""S"":""fyui""}}}]},""subcategory"":{""S"":""ALL""},""category"":{""S"":""MCQ""},""correctAnswer"":{""L"":[{""S"":""B""}]},""questionNumber"":{""N"":""1""},""points"":{""N"":""1""}}}]"
"CLIENT#ksrce.ac.in","ASSESSMENT#ASSESS_CSE_010#MCQ_BATCH_1","ASSESS_CSE_010","Computer Science","mcq_batch_1","[{""M"":{""difficulty"":{""S"":""MEDIUM""},""questionId"":{""S"":""Q_001""},""question"":{""S"":""rtyuiolkjhgf""},""entityType"":{""S"":""mcq""},""options"":{""L"":[{""M"":{""id"":{""S"":""A""},""text"":{""S"":""trtuiu""}}},{""M"":{""id"":{""S"":""B""},""text"":{""S"":""ioio""}}},{""M"":{""id"":{""S"":""C""},""text"":{""S"":""dfdf""}}},{""M"":{""id"":{""S"":""D""},""text"":{""S"":""bnbn""}}}]},""subcategory"":{""S"":""ALL""},""category"":{""S"":""MCQ""},""correctAnswer"":{""L"":[{""S"":""B""}]},""questionNumber"":{""N"":""1""},""points"":{""N"":""1""}}}]"
"CLIENT#ksrce.ac.in","ASSESSMENT#ASSESS_CSE_011#MCQ_BATCH_1","ASSESS_CSE_011","Computer Science","mcq_batch_1","[{""M"":{""difficulty"":{""S"":""MEDIUM""},""questionId"":{""S"":""Q_001""},""question"":{""S"":""tressdff""},""entityType"":{""S"":""mcq""},""options"":{""L"":[{""M"":{""id"":{""S"":""A""},""text"":{""S"":""vtgv""}}},{""M"":{""id"":{""S"":""B""},""text"":{""S"":""hjh""}}},{""M"":{""id"":{""S"":""C""},""text"":{""S"":""uyyuyu""}}},{""M"":{""id"":{""S"":""D""},""text"":{""S"":""uhbu""}}}]},""subcategory"":{""S"":""Technical""},""category"":{""S"":""MCQ""},""correctAnswer"":{""L"":[{""S"":""A""}]},""questionNumber"":{""N"":""1""},""points"":{""N"":""1""}}}]"
"CLIENT#ksrce.ac.in","ASSESSMENT#ASSESS_CSE_012#MCQ_BATCH_1","ASSESS_CSE_012","Computer Science","mcq_batch_1","[{""M"":{""difficulty"":{""S"":""MEDIUM""},""questionId"":{""S"":""Q_001""},""question"":{""S"":""trhthrhtr""},""entityType"":{""S"":""mcq""},""options"":{""L"":[{""M"":{""id"":{""S"":""A""},""text"":{""S"":""gh""}}},{""M"":{""id"":{""S"":""B""},""text"":{""S"":""ggggg""}}},{""M"":{""id"":{""S"":""C""},""text"":{""S"":""ghfgn""}}},{""M"":{""id"":{""S"":""D""},""text"":{""S"":""gfdf""}}}]},""subcategory"":{""S"":""ALL""},""category"":{""S"":""MCQ""},""correctAnswer"":{""L"":[{""S"":""A""}]},""questionNumber"":{""N"":""1""},""points"":{""N"":""1""}}}]"
"CLIENT#ksrce.ac.in","ASSESSMENT#ASSESS_CSE_013#MCQ_BATCH_1","ASSESS_CSE_013","Computer Science","mcq_batch_1","[{""M"":{""difficulty"":{""S"":""MEDIUM""},""questionId"":{""S"":""Q_001""},""question"":{""S"":""notidi""},""entityType"":{""S"":""mcq""},""options"":{""L"":[{""M"":{""id"":{""S"":""A""},""text"":{""S"":""np""}}},{""M"":{""id"":{""S"":""B""},""text"":{""S"":""j""}}},{""M"":{""id"":{""S"":""C""},""text"":{""S"":""nu""}}},{""M"":{""id"":{""S"":""D""},""text"":{""S"":""r""}}}]},""subcategory"":{""S"":""ALL""},""category"":{""S"":""MCQ""},""correctAnswer"":{""L"":[{""S"":""A""}]},""questionNumber"":{""N"":""1""},""points"":{""N"":""1""}}}]"
"CLIENT#ksrce.ac.in","ASSESSMENT#ASSESS_CSE_014#MCQ_BATCH_1","ASSESS_CSE_014","Computer Science","mcq_batch_1","[{""M"":{""difficulty"":{""S"":""MEDIUM""},""questionId"":{""S"":""Q_001""},""question"":{""S"":""kjnklngr""},""entityType"":{""S"":""mcq""},""options"":{""L"":[{""M"":{""id"":{""S"":""A""},""text"":{""S"":""t""}}},{""M"":{""id"":{""S"":""B""},""text"":{""S"":""yt""}}},{""M"":{""id"":{""S"":""C""},""text"":{""S"":""yt""}}},{""M"":{""id"":{""S"":""D""},""text"":{""S"":""hy""}}}]},""subcategory"":{""S"":""Technical""},""category"":{""S"":""MCQ""},""correctAnswer"":{""L"":[{""S"":""A""}]},""questionNumber"":{""N"":""1""},""points"":{""N"":""1""}}}]"
"CLIENT#ksrce.ac.in","ASSESSMENT#ASSESS_CSE_015#CODING_BATCH_1","ASSESS_CSE_015","Computer Science","coding_batch_1","[{""M"":{""difficulty"":{""S"":""MEDIUM""},""questionId"":{""S"":""Q_001""},""question"":{""S"":""test""},""testCases"":{""L"":[{""M"":{""inputs"":{""M"":{""input"":{""S"":""test""}}},""expectedOutput"":{""S"":""test""}}}]},""entityType"":{""S"":""coding""},""starterCode"":{""S"":""test (\n\n\nrth pgiohtp iohtypuiohg[eo6ih[t rth\n)""},""subcategory"":{""S"":""technical""},""category"":{""S"":""PROGRAMMING""},""questionNumber"":{""N"":""1""},""points"":{""N"":""1""}}}]"
"CLIENT#ksrce.ac.in","ASSESSMENT#ASSESS_CSE_016#MCQ_BATCH_1","ASSESS_CSE_016","Computer Science","mcq_batch_1","[{""M"":{""difficulty"":{""S"":""MEDIUM""},""questionId"":{""S"":""Q_001""},""question"":{""S"":""react""},""entityType"":{""S"":""mcq""},""options"":{""L"":[{""M"":{""id"":{""S"":""A""},""text"":{""S"":""jsx""}}},{""M"":{""id"":{""S"":""B""},""text"":{""S"":""tsx""}}},{""M"":{""id"":{""S"":""C""},""text"":{""S"":""ted""}}},{""M"":{""id"":{""S"":""D""},""text"":{""S"":""ffc""}}}]},""subcategory"":{""S"":""Technical""},""category"":{""S"":""MCQ""},""correctAnswer"":{""L"":[{""S"":""A""}]},""questionNumber"":{""N"":""1""},""points"":{""N"":""1""}}}]"
"CLIENT#ksrce.ac.in","ASSESSMENT#ASSESS_CSE_017#MCQ_BATCH_1","ASSESS_CSE_017","Computer Science","mcq_batch_1","[{""M"":{""difficulty"":{""S"":""MEDIUM""},""questionId"":{""S"":""Q_001""},""question"":{""S"":""bjig""},""entityType"":{""S"":""mcq""},""options"":{""L"":[{""M"":{""id"":{""S"":""A""},""text"":{""S"":""jhjgv""}}},{""M"":{""id"":{""S"":""B""},""text"":{""S"":""mnbjh""}}},{""M"":{""id"":{""S"":""C""},""text"":{""S"":"", ,""}}},{""M"":{""id"":{""S"":""D""},""text"":{""S"":""hbjbjh""}}}]},""subcategory"":{""S"":""Technical""},""category"":{""S"":""MCQ""},""correctAnswer"":{""L"":[{""S"":""B""}]},""questionNumber"":{""N"":""1""},""points"":{""N"":""1""}}}]"
"CLIENT#ksrce.ac.in","ASSESSMENT#ASSESS_CSE_018#MCQ_BATCH_1","ASSESS_CSE_018","Computer Science","mcq_batch_1","[{""M"":{""difficulty"":{""S"":""MEDIUM""},""questionId"":{""S"":""Q_001""},""question"":{""S"":""sdafgyuio""},""entityType"":{""S"":""mcq""},""options"":{""L"":[{""M"":{""id"":{""S"":""A""},""text"":{""S"":""drty""}}},{""M"":{""id"":{""S"":""B""},""text"":{""S"":""xtyu""}}},{""M"":{""id"":{""S"":""C""},""text"":{""S"":""fyiu""}}},{""M"":{""id"":{""S"":""D""},""text"":{""S"":""yj""}}}]},""subcategory"":{""S"":""ALL""},""category"":{""S"":""MCQ""},""correctAnswer"":{""L"":[{""S"":""C""}]},""questionNumber"":{""N"":""1""},""points"":{""N"":""1""}}}]"
"CLIENT#ksrce.ac.in","ASSESSMENT#ASSESS_CSE_019#MCQ_BATCH_1","ASSESS_CSE_019","Computer Science","mcq_batch_1","[{""M"":{""difficulty"":{""S"":""MEDIUM""},""questionId"":{""S"":""Q_001""},""question"":{""S"":""nmkbhk""},""entityType"":{""S"":""mcq""},""options"":{""L"":[{""M"":{""id"":{""S"":""A""},""text"":{""S"":""sd""}}},{""M"":{""id"":{""S"":""B""},""text"":{""S"":""ssfyj""}}},{""M"":{""id"":{""S"":""C""},""text"":{""S"":""setg""}}},{""M"":{""id"":{""S"":""D""},""text"":{""S"":""fhj""}}}]},""subcategory"":{""S"":""Technical""},""category"":{""S"":""MCQ""},""correctAnswer"":{""L"":[{""S"":""A""}]},""questionNumber"":{""N"":""1""},""points"":{""N"":""1""}}}]"
"CLIENT#ksrce.ac.in","ASSESSMENT#ASSESS_CSE_020#MCQ_BATCH_1","ASSESS_CSE_020","Computer Science","mcq_batch_1","[{""M"":{""difficulty"":{""S"":""MEDIUM""},""questionId"":{""S"":""Q_001""},""question"":{""S"":""dfhgcfgjxfh""},""entityType"":{""S"":""mcq""},""options"":{""L"":[{""M"":{""id"":{""S"":""A""},""text"":{""S"":""vhj""}}},{""M"":{""id"":{""S"":""B""},""text"":{""S"":""hjch""}}},{""M"":{""id"":{""S"":""C""},""text"":{""S"":""cfhhhhhdfg""}}},{""M"":{""id"":{""S"":""D""},""text"":{""S"":"" gh""}}}]},""subcategory"":{""S"":""ALL""},""category"":{""S"":""MCQ""},""correctAnswer"":{""L"":[{""S"":""C""}]},""questionNumber"":{""N"":""1""},""points"":{""N"":""1""}}}]"
"CLIENT#ksrce.ac.in","ASSESSMENT#ASSESS_CSE_021#MCQ_BATCH_1","ASSESS_CSE_021","Computer Science","mcq_batch_1","[{""M"":{""difficulty"":{""S"":""MEDIUM""},""questionId"":{""S"":""Q_001""},""question"":{""S"":""xcfvgbhjn""},""entityType"":{""S"":""mcq""},""options"":{""L"":[{""M"":{""id"":{""S"":""A""},""text"":{""S"":""cvbhnj""}}},{""M"":{""id"":{""S"":""B""},""text"":{""S"":""vbhnjm""}}},{""M"":{""id"":{""S"":""C""},""text"":{""S"":""cvgbhjn""}}},{""M"":{""id"":{""S"":""D""},""text"":{""S"":""ghj k""}}}]},""subcategory"":{""S"":""Technical""},""category"":{""S"":""MCQ""},""correctAnswer"":{""L"":[{""S"":""A""}]},""questionNumber"":{""N"":""1""},""points"":{""N"":""1""}}}]"
"CLIENT#ksrce.ac.in","ASSESSMENT#ASSESS_CSE_022#MCQ_BATCH_1","ASSESS_CSE_022","Computer Science","mcq_batch_1","[{""M"":{""difficulty"":{""S"":""MEDIUM""},""questionId"":{""S"":""Q_001""},""question"":{""S"":""rdtyguhhbjn""},""entityType"":{""S"":""mcq""},""options"":{""L"":[{""M"":{""id"":{""S"":""A""},""text"":{""S"":""vbn""}}},{""M"":{""id"":{""S"":""B""},""text"":{""S"":""fgh""}}},{""M"":{""id"":{""S"":""C""},""text"":{""S"":""xcgvh""}}},{""M"":{""id"":{""S"":""D""},""text"":{""S"":""cvh""}}}]},""subcategory"":{""S"":""Technical""},""category"":{""S"":""MCQ""},""correctAnswer"":{""L"":[{""S"":""A""}]},""questionNumber"":{""N"":""1""},""points"":{""N"":""1""}}}]"
"CLIENT#ksrce.ac.in","ASSESSMENT#ASSESS_CSE_023#MCQ_BATCH_1","ASSESS_CSE_023","Computer Science","mcq_batch_1","[{""M"":{""difficulty"":{""S"":""MEDIUM""},""questionId"":{""S"":""Q_001""},""question"":{""S"":""kavin ""},""entityType"":{""S"":""mcq""},""options"":{""L"":[{""M"":{""id"":{""S"":""A""},""text"":{""S"":""good""}}},{""M"":{""id"":{""S"":""B""},""text"":{""S"":""bad and goog""}}},{""M"":{""id"":{""S"":""C""},""text"":{""S"":""bad""}}},{""M"":{""id"":{""S"":""D""},""text"":{""S"":""good nad bad""}}}]},""subcategory"":{""S"":""Technical""},""category"":{""S"":""MCQ""},""correctAnswer"":{""L"":[{""S"":""B""}]},""questionNumber"":{""N"":""1""},""points"":{""N"":""1""}}}]"
"CLIENT#ksrce.ac.in","ASSESSMENT#ASSESS_CSE_024#MCQ_BATCH_1","ASSESS_CSE_024","Computer Science","mcq_batch_1","[{""M"":{""difficulty"":{""S"":""MEDIUM""},""questionId"":{""S"":""Q_001""},""question"":{""S"":""fdxhg""},""entityType"":{""S"":""mcq""},""options"":{""L"":[{""M"":{""id"":{""S"":""A""},""text"":{""S"":""dgzdfgz""}}},{""M"":{""id"":{""S"":""B""},""text"":{""S"":""xfghh""}}},{""M"":{""id"":{""S"":""C""},""text"":{""S"":""fghxfgj""}}},{""M"":{""id"":{""S"":""D""},""text"":{""S"":""vhukvuk""}}}]},""subcategory"":{""S"":""ALL""},""category"":{""S"":""MCQ""},""correctAnswer"":{""L"":[{""S"":""A""}]},""questionNumber"":{""N"":""1""},""points"":{""N"":""1""}}}]"
"CLIENT#ksrce.ac.in","ASSESSMENT#ASSESS_CSE_025#MCQ_BATCH_1","ASSESS_CSE_025","Computer Science","mcq_batch_1","[{""M"":{""difficulty"":{""S"":""MEDIUM""},""questionId"":{""S"":""Q_001""},""question"":{""S"":""lkjjoppopoupo""},""entityType"":{""S"":""mcq""},""options"":{""L"":[{""M"":{""id"":{""S"":""A""},""text"":{""S"":""op""}}},{""M"":{""id"":{""S"":""B""},""text"":{""S"":""kl""}}},{""M"":{""id"":{""S"":""C""},""text"":{""S"":""io""}}},{""M"":{""id"":{""S"":""D""},""text"":{""S"":""mn""}}}]},""subcategory"":{""S"":""Aptitude""},""category"":{""S"":""MCQ""},""correctAnswer"":{""L"":[{""S"":""B""}]},""questionNumber"":{""N"":""1""},""points"":{""N"":""1""}}}]"
"CLIENT#ksrce.ac.in","ASSESSMENT#ASSESS_CSE_026#MCQ_BATCH_1","ASSESS_CSE_026","Computer Science","mcq_batch_1","[{""M"":{""difficulty"":{""S"":""MEDIUM""},""questionId"":{""S"":""Q_001""},""question"":{""S"":""dv""},""entityType"":{""S"":""mcq""},""options"":{""L"":[{""M"":{""id"":{""S"":""A""},""text"":{""S"":""ff""}}},{""M"":{""id"":{""S"":""B""},""text"":{""S"":""fg""}}},{""M"":{""id"":{""S"":""C""},""text"":{""S"":""gg""}}},{""M"":{""id"":{""S"":""D""},""text"":{""S"":""ewer""}}}]},""subcategory"":{""S"":""Technical""},""category"":{""S"":""MCQ""},""correctAnswer"":{""L"":[{""S"":""A""}]},""questionNumber"":{""N"":""1""},""points"":{""N"":""1""}}}]"
"CLIENT#ksrce.ac.in","ASSESSMENT#ASSESS_CSE_027#MCQ_BATCH_1","ASSESS_CSE_027","Computer Science","mcq_batch_1","[{""M"":{""difficulty"":{""S"":""MEDIUM""},""questionId"":{""S"":""Q_001""},""question"":{""S"":""dfdfdfddfddffdfdfd""},""entityType"":{""S"":""mcq""},""options"":{""L"":[{""M"":{""id"":{""S"":""A""},""text"":{""S"":""rt""}}},{""M"":{""id"":{""S"":""B""},""text"":{""S"":""we""}}},{""M"":{""id"":{""S"":""C""},""text"":{""S"":""rt""}}},{""M"":{""id"":{""S"":""D""},""text"":{""S"":""rt""}}}]},""subcategory"":{""S"":""Technical""},""category"":{""S"":""MCQ""},""correctAnswer"":{""L"":[{""S"":""B""}]},""questionNumber"":{""N"":""1""},""points"":{""N"":""1""}}}]"
"CLIENT#ksrce.ac.in","ASSESSMENT#ASSESS_ECE_002#MCQ_BATCH_1","ASSESS_ECE_002","Electronics","mcq_batch_1","[{""M"":{""difficulty"":{""S"":""MEDIUM""},""questionId"":{""S"":""Q_001""},""question"":{""S"":""asdferth""},""entityType"":{""S"":""mcq""},""options"":{""L"":[{""M"":{""id"":{""S"":""A""},""text"":{""S"":""ede""}}},{""M"":{""id"":{""S"":""B""},""text"":{""S"":""rer""}}},{""M"":{""id"":{""S"":""C""},""text"":{""S"":""fgf""}}},{""M"":{""id"":{""S"":""D""},""text"":{""S"":""uju""}}}]},""subcategory"":{""S"":""Technical""},""category"":{""S"":""MCQ""},""correctAnswer"":{""L"":[{""S"":""C""}]},""questionNumber"":{""N"":""1""},""points"":{""N"":""1""}}}]"
"CLIENT#ksrce.ac.in","ASSESSMENT#ASSESS_ECE_003#MCQ_BATCH_1","ASSESS_ECE_003","Electronics","mcq_batch_1","[{""M"":{""difficulty"":{""S"":""MEDIUM""},""questionId"":{""S"":""Q_001""},""question"":{""S"":""html is full form""},""entityType"":{""S"":""mcq""},""options"":{""L"":[{""M"":{""id"":{""S"":""A""},""text"":{""S"":""hyper text markup language""}}},{""M"":{""id"":{""S"":""B""},""text"":{""S"":""hello text markup language""}}},{""M"":{""id"":{""S"":""C""},""text"":{""S"":""hyper text mark language""}}},{""M"":{""id"":{""S"":""D""},""text"":{""S"":""hyper transition markup language""}}}]},""subcategory"":{""S"":""Technical""},""category"":{""S"":""MCQ""},""correctAnswer"":{""L"":[{""S"":""A""}]},""questionNumber"":{""N"":""1""},""points"":{""N"":""1""}}}]"
"CLIENT#ksrce.ac.in","ASSESSMENT#ASSESS_ECE_004#MCQ_BATCH_1","ASSESS_ECE_004","Electronics","mcq_batch_1","[{""M"":{""difficulty"":{""S"":""MEDIUM""},""questionId"":{""S"":""Q_001""},""question"":{""S"":""xcgvhjk""},""entityType"":{""S"":""mcq""},""options"":{""L"":[{""M"":{""id"":{""S"":""A""},""text"":{""S"":""vbnn""}}},{""M"":{""id"":{""S"":""B""},""text"":{""S"":""vbnm""}}},{""M"":{""id"":{""S"":""C""},""text"":{""S"":""nm""}}},{""M"":{""id"":{""S"":""D""},""text"":{""S"":""hjk""}}}]},""subcategory"":{""S"":""Technical""},""category"":{""S"":""MCQ""},""correctAnswer"":{""L"":[{""S"":""A""}]},""questionNumber"":{""N"":""1""},""points"":{""N"":""1""}}}]"
"CLIENT#ksrce.ac.in","ASSESSMENT#ASSESS_IT_001#MCQ_BATCH_1","ASSESS_IT_001","Information Technology","mcq_batch_1","[{""M"":{""difficulty"":{""S"":""MEDIUM""},""questionId"":{""S"":""Q_001""},""question"":{""S"":""What is Flutter""},""entityType"":{""S"":""mcq""},""options"":{""L"":[{""M"":{""id"":{""S"":""A""},""text"":{""S"":""A""}}},{""M"":{""id"":{""S"":""B""},""text"":{""S"":""B""}}},{""M"":{""id"":{""S"":""C""},""text"":{""S"":""C""}}},{""M"":{""id"":{""S"":""D""},""text"":{""S"":""D""}}}]},""subcategory"":{""S"":""Verbal""},""category"":{""S"":""MCQ""},""correctAnswer"":{""L"":[{""S"":""C""}]},""questionNumber"":{""N"":""1""},""points"":{""N"":""1""}}}]"
"CLIENT#ksrce.ac.in","ASSESSMENT#ASSESS_IT_002#MCQ_BATCH_1","ASSESS_IT_002","Information Technology","mcq_batch_1","[{""M"":{""difficulty"":{""S"":""MEDIUM""},""questionId"":{""S"":""Q_001""},""question"":{""S"":""javvlkdwlc""},""entityType"":{""S"":""mcq""},""options"":{""L"":[{""M"":{""id"":{""S"":""A""},""text"":{""S"":""vhjvhjhvj""}}},{""M"":{""id"":{""S"":""B""},""text"":{""S"":""hvvhvh""}}},{""M"":{""id"":{""S"":""C""},""text"":{""S"":""hjhjhj""}}},{""M"":{""id"":{""S"":""D""},""text"":{""S"":""hjvvjh""}}}]},""subcategory"":{""S"":""Technical""},""category"":{""S"":""MCQ""},""correctAnswer"":{""L"":[{""S"":""A""}]},""questionNumber"":{""N"":""1""},""points"":{""N"":""1""}}}]"